Unnamed: 0,record_id,row_min,row_size,col_min,col_size,timestamp,col_min_bin,row_min_bin,fold,area
0,3283699311323360356,1686563.5,-1960.975830078125,371650.9375,1947.1307373046875,1571008800.0,3.0,16.0,2,0.0
1,8563667897034605935,3182392.75,-1977.611083984375,360291.8125,1938.7911376953125,1566376800.0,3.0,31.0,2,0.0
2,6375533009500587038,2702499.5,-2035.4400634765625,830456.9375,1890.6038818359375,1570221600.0,8.0,27.0,5,0.0
3,3029407526724839139,2689881.5,-1998.1068115234375,565498.75,1918.6436767578125,1570406400.0,5.0,26.0,0,0.0
4,4486503791474809647,4179394.25,-2073.8046875,736862.0,1853.664794921875,1572366600.0,7.0,41.0,4,2126.0
5,6187837073227802120,-804756.0625,-1934.9144287109375,601488.5,1976.626953125,1572244800.0,6.0,-9.0,3,0.0
6,2987557549042105145,-1799228.375,-1936.2197265625,439280.84375,1976.0718994140625,1576831200.0,4.0,-18.0,1,518.0
7,6817338302880200194,3699158.5,-2048.072509765625,697292.8125,1876.8199462890625,1563259200.0,6.0,36.0,3,272.0
8,8098169127491247044,4351799.5,-2033.1319580078125,529906.875,1892.098876953125,1584378600.0,5.0,43.0,0,2868.0
9,999343676223888149,3678525.75,-1964.3138427734375,249157.265625,1955.1024169921875,1571635200.0,2.0,36.0,5,0.0
10,6186586744379428099,1692025.375,-1981.926513671875,628248.0625,1932.002197265625,1554470400.0,6.0,16.0,3,6.0
11,1454433908392484966,1687535.875,-1965.3468017578125,428468.34375,1943.5361328125,1564500000.0,4.0,16.0,1,0.0
12,4390543925742222249,-2294273.5,-1953.3349609375,285798.78125,1960.3358154296875,1556808000.0,2.0,-23.0,5,71.0
13,2655253405911008656,4582372.0,-2001.2275390625,371680.84375,1924.732177734375,1557853200.0,3.0,45.0,2,0.0
14,5554297470724422144,4177986.5,-1968.340576171875,249748.015625,1954.669921875,1584016800.0,2.0,41.0,5,367.0
15,5747024955383921098,4196753.0,-2050.1884765625,626928.5625,1875.403564453125,1585118400.0,6.0,41.0,3,92.0
16,7660278154155736982,4695004.0,-2052.270751953125,567126.0,1875.060546875,1570632000.0,5.0,46.0,0,0.0
17,5903855612887677797,4348789.0,-2088.446533203125,770965.625,1840.0985107421875,1556648400.0,7.0,43.0,4,1570.0
18,3547701927462300733,-804756.0625,-1934.9144287109375,601488.5,1976.626953125,1567473600.0,6.0,-9.0,3,0.0
19,7453454703072928537,3186158.75,-1994.6849365234375,469920.15625,1922.9268798828125,1568215200.0,4.0,31.0,1,181.0
20,1379296552884433298,2196943.0,-2008.77685546875,756608.3125,1912.200439453125,1555012800.0,7.0,21.0,4,0.0
21,3835271611989816765,4084555.5,-2048.1572265625,634459.875,1877.04931640625,1572984000.0,6.0,40.0,3,298.0
22,8597889304036849,3185788.5,-1993.1627197265625,460264.59375,1924.31201171875,1571184000.0,4.0,31.0,1,79.0
23,2993624572135136191,4193656.25,-2040.08447265625,581341.875,1884.8558349609375,1581012000.0,5.0,41.0,0,86.0
24,6029543688138253292,1187218.375,-1949.4959716796875,243261.875,1955.6202392578125,1567605600.0,2.0,11.0,5,0.0
25,745584912737264526,-3812650.0,-1867.0111083984375,694261.6875,2062.3740234375,1555581600.0,6.0,-39.0,3,0.0
26,612163729958067034,693541.3125,-1962.1197509765625,696726.5,1950.6304931640625,1571640000.0,6.0,6.0,3,33.0
27,7493463439923400577,-804476.4375,-1935.7611083984375,577863.9375,1975.008056640625,1582027200.0,5.0,-9.0,0,0.0
28,8108675365933336478,2680579.75,-1954.4417724609375,223513.78125,1958.481201171875,1560722400.0,2.0,26.0,5,0.0
29,5931882434014676831,4383337.5,-1979.6998291015625,292282.25,1944.7833251953125,1556238000.0,2.0,43.0,5,197.0
30,1316153389451289757,4621373.5,-2104.0615234375,785937.0,1825.1175537109375,1559918400.0,7.0,46.0,4,457.0
31,6456015412989742945,4480348.0,-2020.2222900390625,460075.0,1905.3062744140625,1558730400.0,4.0,44.0,1,63.0
32,907684170224508422,3926320.25,-1964.47314453125,240295.078125,1956.7142333984375,1583442000.0,2.0,39.0,5,1796.0
33,7156021316075033065,689551.125,-1946.7017822265625,196889.203125,1956.51806640625,1570574400.0,1.0,6.0,5,0.0
34,8559789484915391697,4205022.0,-2066.621826171875,699997.3125,1860.2171630859375,1557861000.0,6.0,42.0,3,2428.0
35,7036826277932194282,4193656.25,-2040.08447265625,581341.875,1884.8558349609375,1571157600.0,5.0,41.0,0,20.0
36,449218378161126540,4195883.0,-2047.4185791015625,614459.6875,1877.9859619140625,1570797600.0,6.0,41.0,3,0.0
37,80788911023388669,193451.28125,-1950.406494140625,680646.0625,1961.0885009765625,1583671200.0,6.0,1.0,3,0.0
38,4539992924685641080,3186158.75,-1994.6849365234375,469920.15625,1922.9268798828125,1571287200.0,4.0,31.0,1,0.0
39,3295399516602055588,-2814684.5,-1875.82763671875,806234.375,2052.830078125,1580985600.0,8.0,-29.0,5,0.0
40,58186347353608086,1194307.375,-1976.9747314453125,727562.4375,1938.924072265625,1571824800.0,7.0,11.0,4,0.0
41,722843618204777775,4147603.25,-2059.478759765625,677009.875,1866.7340087890625,1554823800.0,6.0,41.0,3,407.0
42,3793913088602461588,691733.6875,-1955.62890625,530131.8125,1951.276123046875,1569830400.0,5.0,6.0,0,44.0
43,7043106065713062090,4313436.0,-1970.408203125,253984.03125,1953.5997314453125,1554926400.0,2.0,43.0,5,32.0
44,1616047197720010576,4572010.0,-2016.9622802734375,437596.0625,1909.0682373046875,1560280200.0,4.0,45.0,1,600.0
45,2987681881100072382,-2303867.25,-1911.22314453125,624498.25,2008.3203125,1582176000.0,6.0,-24.0,3,0.0
46,353362540386426492,690405.1875,-1950.495361328125,363557.53125,1953.236328125,1572348000.0,3.0,6.0,2,0.0
47,2611967214395428997,3680650.0,-1977.8109130859375,323866.5625,1941.6929931640625,1575004800.0,3.0,36.0,2,0.0
48,516983773133481371,5320095.5,-2048.782470703125,482965.34375,1881.8614501953125,1567537800.0,4.0,53.0,1,398.0
49,2329385387359833140,3683297.5,-1991.482177734375,398558.21875,1928.4398193359375,1570550400.0,3.0,36.0,2,0.0
