,record_id,train,fold
0,1284412112608546821,train,0
1,7457695218848685981,train,0
2,836236084461732921,train,0
3,7829917977180135058,train,0
4,5319255125658459358,train,0
5,5747024955383921098,train,0
6,432548070956515051,train,0
7,6249676276128358850,train,0
8,6404414125815253353,train,0
9,3120044272041019435,train,0
10,6039253997748184040,train,0
11,9116838890261629533,train,0
12,3727988927537047897,train,0
13,3300848841428176436,train,0
14,6256728539951941621,train,0
15,6618704272757714991,train,0
16,3617172608590290581,train,0
17,7052120479722658749,train,0
18,3331769757810253684,train,0
19,1138456192611571385,train,0
20,1658146660362509020,train,0
21,3889031175720233187,train,0
22,2827659800673480299,train,0
23,499375719684647437,train,0
24,8130259449598964956,train,0
25,1088936034024300266,train,0
26,7728852833886723652,train,0
27,6245527812507270177,train,0
28,3648905055271967273,train,0
29,3374031604530790277,train,0
30,9131223346423158425,train,0
31,1260081513595630349,train,0
32,5899248684347174432,train,0
33,2810306148740058752,train,0
34,8512471720352409868,train,0
35,9198097552909256072,train,0
36,4012268086356422796,train,0
37,1893323422603860571,train,0
38,2010225445202167391,train,0
39,995018776372307569,train,0
40,4165917722498377693,train,0
41,7280141210979517473,train,0
42,2513991992459389737,train,0
43,1268672777921907042,train,0
44,1466732346275631969,train,0
45,1521645825869388371,train,0
46,3282871455221888595,train,0
47,1399979732596376267,train,0
48,583026469498221794,train,0
49,7578001100802293132,train,0
50,3225736560858650777,train,0
51,7700407424461592496,train,0
52,8331334477574694238,train,0
53,1973495161824822798,train,0
54,8857184272081583159,train,0
55,2912196753931683953,train,0
56,6889094508385245720,train,0
57,8848138605049317758,train,0
58,3091921081077702647,train,0
59,7963163505282126951,train,0
60,3840741079080689643,train,0
61,6830123620193930567,train,0
62,3555378148013843035,train,0
63,5594442889919319991,train,0
64,8048546049030220944,train,0
65,3235284333107083785,train,0
66,2939352960055853373,train,0
67,7460876252770027893,train,0
68,1940730256652201081,train,0
69,1060255682366112357,train,0
70,6045380630451800759,train,0
71,5271540818581868885,train,0
72,3700163289295288070,train,0
73,6032069071238336557,train,0
74,749507224958203125,train,0
75,1894804347384595758,train,0
76,7695846442724240727,train,0
77,6887383507766524833,train,0
78,300358674481147574,train,0
79,591106271081426220,train,0
80,4350413059504027075,train,0
81,1495822173806411391,train,0
82,876079144610050354,train,0
83,4637483393677160666,train,0
84,4684826343060445994,train,0
85,5922642667897558634,train,0
86,5084434091278753164,train,0
87,3685720519029287028,train,0
88,2921509834284636559,train,0
89,6844395645491255695,train,0
90,1493638627281141853,train,0
91,115635399987084338,train,0
92,136943637522814055,train,0
93,9025295229229239838,train,0
94,2555993582872252570,train,0
95,4764951072611394253,train,0
96,1126548627289065391,train,0
97,5469709014057911993,train,0
98,1341180216028868748,train,0
99,2622186263101783163,train,0
100,8259488495709542229,train,0
101,9066201650513159224,train,0
102,2052069174100494278,train,0
103,1089439531830217175,train,0
104,4314807843370184587,train,0
105,5545449984665090730,train,0
106,1409783300711755894,train,0
107,3533551658999284993,train,0
108,7343908459946911071,train,0
109,7086083993107572229,train,0
110,7537083320030451040,train,0
111,8182597030347282992,train,0
112,7537110532742031857,train,0
113,3491186016521549736,train,0
114,8472525848426676180,train,0
115,4326026504120198970,train,0
116,8745048872424726323,train,0
117,7651232295567407192,train,0
118,7308587679622008795,train,0
119,4521690072683543987,train,0
120,4548807017314598349,train,0
121,95134276857669274,train,0
122,5741700187860371695,train,0
123,5343859488406966993,train,0
124,4474534109761796957,train,0
125,9139257882473779597,train,0
126,7251686211299541266,train,0
127,514636993861571028,train,0
128,3334488859402361680,train,0
129,1264966833918307888,train,0
130,8043857346404345583,train,0
131,3884131758535503270,train,0
132,3645747446146466627,train,0
133,7349739181853289588,train,0
134,1350559664523181294,train,0
135,542974788524732735,train,0
136,3588395377482642895,train,0
137,3798752945238558735,train,0
138,1994937217660843553,train,0
139,4134827809098227628,train,0
140,5910434425318356944,train,0
141,6287327917804556679,train,0
142,3246930086768742975,train,0
143,3672479406362659585,train,0
144,538108226771250084,train,0
145,1995124211962701621,train,0
146,5755882083782654086,train,0
147,4359610327683253365,train,0
148,4913190898226609320,train,0
149,7641797697439738821,train,0
150,1544427177999482937,train,0
151,7444683167434691864,train,0
152,3241900422634952025,train,0
153,1579340544102232230,train,0
154,5182329898505846139,train,0
155,3968581705232027267,train,0
156,8545339064368888153,train,0
157,4338478331201868936,train,0
158,8484372433635865688,train,0
159,5726530898031551145,train,0
160,2802793977309513240,train,0
161,7715463246470304268,train,0
162,3002748536139935239,train,0
163,8148038907351532363,train,0
164,6050564261249011859,train,0
165,857902376262353777,train,0
166,3094051442817245075,train,0
167,327374388702739167,train,0
168,5121325711721121851,train,0
169,8474611568548364549,train,0
170,6412767032488720028,train,0
171,8862370027893545859,train,0
172,7129269609151813254,train,0
173,208078238600051523,train,0
174,1526713528907841070,train,0
175,374029324925858720,train,0
176,5897207048009623550,train,0
177,8197868463531064547,train,0
178,2447834532569797645,train,0
179,6493507616018692163,train,0
180,345533031902952661,train,0
181,2633144168847012577,train,0
182,4292904439327079745,train,0
183,857172138211986133,train,0
184,1652451450849058975,train,0
185,9160467964258384988,train,0
186,4485223731831029068,train,0
187,5933836968215853325,train,0
188,8069150262100044291,train,0
189,1539246211880057748,train,0
190,9098801355501282129,train,0
191,4755267965181835987,train,0
192,5369159359735899734,train,0
193,7950436542649245683,train,0
194,4110768640491664478,train,0
195,3848753962367622736,train,0
196,6558742773225587578,train,0
197,2366504941450897881,train,0
198,2836012692612841254,train,0
199,66886527113142094,train,0
200,5794420462522054533,train,0
201,3270672111130592370,train,0
202,1455608450886346775,train,0
203,9155663314111408873,train,0
204,5630415353586373998,train,0
205,1021669416575304841,train,0
206,2575017259739201294,train,0
207,1095812638725302274,train,0
208,7086074851389255867,train,0
209,2265149889787463742,train,0
210,9137688875605038439,train,0
211,4911307989839302440,train,0
212,177404812064947531,train,0
213,3981129919532696249,train,0
214,2236183631605688486,train,0
215,3158896175718899574,train,0
216,6208517826276224432,train,0
217,4333413690031700558,train,0
218,4989803780842469549,train,0
219,967404677405116152,train,0
220,425964037062202167,train,0
221,7247590072015234424,train,0
222,6735201615180318269,train,0
223,1377493112855973245,train,0
224,4178261424050291595,train,0
225,8975574036890131866,train,0
226,7357607502694849224,train,0
227,2680953837246007566,train,0
228,9189408244235584969,train,0
229,660387348074697832,train,0
230,1153537416999637255,train,0
231,3062830354489164531,train,0
232,58597563394109459,train,0
